INVENTORY LIST,,,,,,
,,,,,,"DATE: APRIL 9, 2026"
,,,,,,
ITEMS,QTY,TYPE,CATEGORY,STATUS,DATE OF ACQUISITION,LOCATION
HDMI FIBER OPTIC CABLE,2,CHURCH,CABLE,,2026,
LAN CABLE (305M),1,CHURCH,CABLE,,2026,
VGA CABLE OLD ,6,CHURCH,CABLE,,,
VIDEO BALUN ADAPTER OLD,1,CHURCH,CABLE,,,
XLR CABLE 100M,1,CHURCH,CABLE,,,
SDI CABLE,1,CHURCH,CABLE,,,
HDMI CABLE,14,DONATION,CABLE,,2025,
VGA TO HDMI CONVERTER,5,DONATION,CABLE,,2025,
VGA CABLE,3,DONATION,CABLE,,2025,
RCA TO MP3 JACK,3,DONATION,CABLE,,2025,
LAN CABLE (100M),1,DONATION,CABLE,,2026,
LAN CABLE (15M),1,DONATION,CABLE,,2023,
LAN CABLE (1.5M),6,DONATION,CABLE,,,
LAN CABLE (3M),4,DONATION,CABLE,,,
LAN CABLE (5),1,DONATION,CABLE,,,
VGA CABLE NEW,7,DONATION,CABLE,,2025,
HDMI TO DP ADAPTER,3,DONATION,CABLE,,2024,
VIDEO BALUN ADAPTER NEW,1,DONATION,CABLE,,2024,
USB TYPE C CABLE,5,DONATION,CABLE,,2026,
USB TYPE B CABLE,4,DONATION,CABLE,,,
EXTENSION 4 OUTLET,1,DONATION,CABLE,,2025,
EXTENSION 12 OUTLET,1,CHURCH,CABLE,,,
XLR CABLE 10M,1,DONATION,CABLE,,2024,
MOTOROLA WALKIE TALKIE,4,DONATION,COMMUNICATION,,2024,
MONITOR (SAMSUNG 24’),1,CHURCH,MONITOR,,,
MONITOR (AOC17'),1,DONATION,MONITOR,,2024,
MONITOR (HKVISION 19’),2,CHURCH,MONITOR,,,
MONITOR (YGT 19’),1,DONATION,MONITOR,,2024,
MONITOR (SAMSUNG 19’),1,PERSONAL,MONITOR,,,
MONITOR (NVISION 24'),1,DONATION,MONITOR,,2026,
TP-LINK WR820N,1,DONATION,NETWORK,,2024,
TP-LINK MR150,1,DONATION,NETWORK,,2025,
TP-LINK TL-R470T+,1,DONATION,NETWORK,,2025,
MERCUSYS M2301,1,DONATION,NETWORK,,2024,
TP-LINK LS1005 5PORT,1,DONATION,NETWORK,,2023,
TP-LINK SG105E 5 PORT,1,DONATION,NETWORK,,2023,
CONVERGE ROUTER,1,DONATION,NETWORK,,2024,
PLDT ROUTER,1,DONATION,NETWORK,,2024,
GLOBE ROUTER,1,DONATION,NETWORK,,2024,
TP-LINK MANAGED SWITCH,1,DONATION,NETWORK,,2026,
HP MOUSE,1,DONATION,PEREPHRALS , ,2023,
SYSTEM UNIT SET (RYZEN 5),1,CHURCH,PERIPHERALS,,,
AV MATRIX CAMERA SWITCHER,1,CHURCH,PERIPHERALS,,,
HIKVISION DVR,1,CHURCH,PERIPHERALS,,2022,
HKVISION CAMERA ,1,CHURCH,PERIPHERALS,,,
BENQ TRIPOD,1,CHURCH,PERIPHERALS,,,
STELLAR PTZ CAMERA,2,CHURCH,PERIPHERALS,,2026,
STELLAR PTZ CONTROLLER,1,CHURCH,PERIPHERALS,,2026,
SONY HANDHELD CAMERA 20X,1,CHURCH,PERIPHERALS,,,
4 CHANNEL VIDEO SPLITTER,1,CHURCH,PERIPHERALS,,2025,
SMART TV ,4,CHURCH,PERIPHERALS,,2025,
PTZ CONTROLLER STANDARD,1,CHURCH,PERIPHERALS,,,
SYSTEM UNIT SET (RYZEN 3),1,DONATION,PERIPHERALS,,2024,
ATEM MINI PRO CAMERA SWITCHER,1,DONATION,PERIPHERALS,,2024,
PUSH CART,1,DONATION,PERIPHERALS,,2025,
SECURE UPS,2,DONATION,PERIPHERALS,,2024,
SECURE AVR,1,DONATION,PERIPHERALS,,2024,
STANDARD TRIPOD,1,DONATION,PERIPHERALS,,2025,
GLOBE ANTENNA,1,DONATION,PERIPHERALS,,2025,
OPTICAL MOUSE ,1,DONATION,PERIPHERALS,,2023,
PHONE HOLDER,50,DONATION,PERIPHERALS,,2025,
HUAWEI LAPTOP,1,DONATION,PERIPHERALS,,,
WIRELESS LAPEL,1,DONATION,PERIPHERALS,,2024,
KEYBOARD WHITE,1,DONATION,PERIPHERALS,,2023,
SCREW DRIVERS 8 SET,1,DONATION,PERIPHERALS,MISSING,2024,
CLAPPER,1,DONATION,PERIPHERALS,,2024,
USB LIGHT RING,1,PERSONAL,PERIPHERALS,,2024,
MICROPHONE STAND,2,PERSONAL,PERIPHERALS,,2024,
HDD STORAGE,3,DONATION,PERIPHERALS,,2023,
WYZE CAM ,1,DONATION,PERIPHERALS,,2023,
WYZE CAM 360,1,DONATION,PERIPHERALS,,2025,
IMOU LAN CAMERA,2,DONATION,PERIPHERALS,,2022,
RAPOO MOUSE,1,DONATION,PERIPHERALS,,2023,
VANCRIST VGA SPLITTER TRANSMITTER,1,CHURCH,PERIPHERALS,,,
VANCRIST VGA SPLITTER RECEIVER,5,CHURCH,PERIPHERALS,,,
YGT MONITOR MOUNT,1,DONATION,PERIPHERALS,,2024,
SPEAKER ,1,CHURCH,SOUND,,,
QUBE SPEAKER,2,CHURCH,SOUND,,2025,
YAMAHA MIXER,1,CHURCH,SOUND,,,
BOYA SHUTGUN MICROPHONE,1,DONATION,SOUND,,2024,
SOUND MIXER ,1,PERSONAL,SOUND,,2024,
WIRELES DYNAMIC MIC,1,PERSONAL,SOUND,,2024,
BM-800 MICROPHONE,2,PERSONAL,SOUND,,2024,
BOYA LAPEL MICROPHONE,2,PERSONAL,SOUND,,2024,
,,,,,,
Note: All items are subject to change without prior notice.,,,,,,
,,,,,,
,,,,,,Prepared by
,,,,,,
CHURCH =,41,,,,,
DONATION =,152,,,,,Spencer Restoso
PERSONAL =,10,,,,,Technical Team
TOTAL=,203,,,,,
